elma apple
kapý door
kaþýk spoon
yýldýz star
pencere window
kýrmýzý red
araba car
etek skirt
uçak plane
ekmek bread
bardak glass
bilgisayar computer
sandalye chair
balýk fish
masa table
yol road
tren train
ship gemi
oyun game
kitap book
kütüphane library
bina building
futbol football
sýnav exam
karýnca ant
fil elephant
müzik music
pencil kalem
bulut cloud
dünya earth
kablo cable
fare mouse
et meat
kuþ bird
güç power
doða nature
hikaye story
dil language
haber news
kullanýcý user
rol role
kural rule
sabun soap
konum location
eðitim education
resim painting
ofis office
odun wood
birim unit
sürücü driver
kadýn woman
kalp heart
hafýza memory
versiyon version
bölge region
cumhuriyet republic
aygýt device
motor engine
banyo bath
hava air
asansör elevator
duygu emotion
gitar guitar
anne mother
buzdolabý refrigrator
turuncu orange
imza signature
diþ tooth
araç vehicle
hastane hospital
nehir river
baba father
bal honey
kral king
menü menu
patates potato
hedef target
yanak cheek
müþteri client
kulak ear
zaman time
iþ work
su water
sayý number
el hand
tecrübe experience
nokta point
ev home
akýl mind
ticaret trade
patron boss
sayfa page
göz eye
gelecek future
sýnýf class
vergi tax
uzay space
kaynak source
tuz salt
hýz speed
